x,y
0.00,30.00
1.00,31.40
2.00,32.80
3.00,34.20
4.00,35.60
5.00,37.00
6.00,38.40
7.00,39.80
8.00,41.20
9.00,42.60
10.00,44.00
11.00,45.40
12.00,46.80
13.00,48.20
14.00,49.60
15.00,51.00
16.00,52.40
17.00,53.80
18.00,55.20
19.00,56.60
20.00,58.00
21.00,59.40
22.00,60.80
23.00,62.20
24.00,63.60
25.00,65.00
26.00,66.40
27.00,67.80
28.00,69.20
29.00,70.60
30.00,72.00
31.00,73.40
32.00,74.80
33.00,76.20
34.00,77.60
35.00,79.00
36.00,80.40
37.00,81.80
38.00,83.20
39.00,84.60
40.00,86.00
41.00,87.40
42.00,88.80
43.00,90.20
44.00,91.60
45.00,93.00
46.00,94.40
47.00,95.80
48.00,97.20
49.00,98.60
50.00,100.00
51.00,101.40
52.00,102.80
53.00,104.20
54.00,105.60
55.00,107.00
56.00,108.40
57.00,109.80
58.00,111.20
59.00,112.60
60.00,114.00
61.00,115.40
62.00,116.80
63.00,118.20
64.00,119.60
65.00,121.00
66.00,122.40
67.00,123.80
68.00,125.20
69.00,126.60
70.00,128.00
71.00,129.40
72.00,130.80
73.00,132.20
74.00,133.60
75.00,135.00
76.00,136.40
77.00,137.80
78.00,139.20
79.00,140.60
80.00,142.00
81.00,143.40
82.00,144.80
83.00,146.20
84.00,147.60
85.00,149.00
86.00,150.40
87.00,151.80
88.00,153.20
89.00,154.60
90.00,156.00
91.00,157.40
92.00,158.80
93.00,160.20
94.00,161.60
95.00,163.00
96.00,164.40
97.00,165.80
98.00,167.20
99.00,168.60
